X;Y;Unique Squirrel ID;Hectare;Shift;Date;Hectare Squirrel Number;Age;Primary Fur Color;Highlight Fur Color;Combination of Primary and Highlight Color;Color notes;Location;Above Ground Sighter Measurement;Specific Location;Running;Chasing;Climbing;Eating;Foraging;Other Activities;Kuks;Quaas;Moans;Tail flags;Tail twitches;Approaches;Indifferent;Runs from;Other Interactions;Lat/Long
-73.971.086.588.091;407.719.703.235.178;9G-PM-1007-06;09G;PM;10072018;6;Adult;Gray;;Gray+;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.971086588091 40.7719703235178)
-739.695.507.965.155;407.743.070.423.435;12F-PM-1007-04;12F;PM;10072018;4;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;stared;POINT (-73.96955079651552 40.7743070423435)
-739.651.654.887.991;407.777.806.006.951;17H-PM-1007-02;17H;PM;10072018;2;Adult;Gray;;Gray+;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9651654887991 40.7777806006951)
-739.519.639.918.804;407.949.911.702.392;39H-AM-1007-01;39H;AM;10072018;1;Adult;Gray;;Gray+;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9519639918804 40.7949911702392)
-739.775.681.731.459;407.676.421.190.309;2D-AM-1007-03;02D;AM;10072018;3;Adult;Gray;;Gray+;;Above Ground;100;;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9775681731459 40.7676421190309)
-739.598.155.300.913;407.905.887.826.983;32E-AM-1007-10;32E;AM;10072018;10;Adult;Black;;Black+;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9598155300913 40.7905887826983)
-739.741.401.377.844;407.758.134.257.881;12B-AM-1007-02;12B;AM;10072018;2;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9741401377844 40.7758134257881)
-739.597.648.775.789;407.903.443.029.725;32E-AM-1007-01;32E;AM;10072018;1;Adult;Gray;;Gray+;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9597648775789 40.7903443029725)
-73.968.107.276.769;407.768.612.676.036;15F-AM-1007-09;15F;AM;10072018;9;Adult;Cinnamon;White;Cinnamon+White;;Above Ground;20;;FALSE;FALSE;TRUE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.968107276769 40.7768612676036)
-739.591.400.366.159;407.891.708.599.318;31F-PM-1007-01;31F;PM;10072018;1;Adult;Gray;White;Gray+White;white neck and belly;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9591400366159 40.7891708599318)
-739.547.336.666.137;407.938.937.756.332;37G-PM-1007-07;37G;PM;10072018;7;Adult;Gray;Cinnamon;Gray+Cinnamon;;Above Ground;5;;TRUE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9547336666137 40.7938937756332)
-739.695.176.417.703;407.741.725.190.048;12G-PM-1007-04;12G;PM;10072018;4;;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9695176417703 40.7741725190048)
-739.523.001.834.395;407.949.231.000.186;39H-AM-1007-02;39H;AM;10072018;2;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;POINT (-73.9523001834395 40.7949231000186)
