Hectare,Shift,Date,Hectare Conditions,Number of Squirrels,Weather,Dogs
15A,AM,10182018,Moderate,3,73.0,0
15C,AM,10182018,Busy,1,40.0,1
15F,AM,10182018,Busy,1,49.0,1
15G,AM,10182018,,0,47.6,0
15H,AM,10182018,Busy,9,47.6,1
15H,PM,10182018,Moderate,2,40.0,1
16B,PM,10182018,Calm,2,44.0,0
16G,AM,10182018,Calm,5,49.0,1
16I,AM,10182018,Busy,0,43.0,1
17D,PM,10182018,Busy,0,47.6,1
17E,AM,10182018,Busy,9,76.0,1
17H,AM,10182018,Busy,3,43.0,1
18A,AM,10182018,Busy,0,40.0,1
18D,PM,10182018,Busy,3,50.0,1
18E,AM,10182018,Busy,8,44.0,1
18G,AM,10182018,Calm,4,52.0,0
18G,PM,10182018,"Calm, Busy",0,44.0,1
19C,AM,10182018,Calm,0,47.6,1
19D,AM,10182018,Medium,5,40.0,1
19D,PM,10182018,Busy,3,53.0,1
19E,AM,10182018,Busy,0,44.0,1
19F,PM,10182018,Calm,5,47.6,1
20A,PM,10182018,Busy,1,44.0,1
20B,PM,10182018,Busy,0,44.0,0
26B,AM,10182018,Moderate,5,44.0,1
